observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index,observation.effort
"[-0.2239612   0.11811652  0.8498254  -0.21935926 -0.9387963  -0.00306796
  0.82107943  0.28378645  0.07516506  1.1075342   0.34361172 -1.1535536
  0.00613592  0.40187654]","[-0.22702916  0.09357283  0.8329516  -0.2162913  -0.94186425 -0.00153398
  0.7295552   0.28685442  0.05215535  1.0921943   0.34207773 -1.1566216
  0.00460194  0.40343934]",568,447,8.94,False,366697,10,"[ -45.73     -696.71     -468.06       24.210001  -80.700005    5.38
   -2.69        2.69     -618.7      -390.05002    -5.38      -61.870003
   -5.38     -166.78    ]"
"[ 0.00613592 -0.15033013  1.0308352   0.05368933 -0.7823302  -0.07823303
  0.432492   -0.01073787  0.10124274  0.91732055 -0.03681554 -0.96487397
  0.16106799  0.32454476]","[ 0.0076699  -0.15646605  1.0200973   0.05368933 -0.7853982  -0.07823303
  0.4328052  -0.00613592  0.09203885  0.9004468  -0.03681554 -0.97100985
  0.16260196  0.33079743]",502,489,9.78,False,333739,10,"[  40.350002 -142.57     -314.73        0.        -56.49        0.
  -18.83       86.08     -260.93     -492.27002     0.        -80.700005
    0.       -489.58002 ]"
"[ 0.05829127 -0.18254372  1.1382138  -0.16106799 -0.642738    0.0076699
 -0.12591307 -0.09203885  0.17794177  0.41877678 -0.21935926 -0.06289321
 -0.0076699   0.52859944]","[ 0.05829127 -0.19328159  1.1274759  -0.159534   -0.64733994  0.01073787
 -0.1666185  -0.08743691  0.15493207  0.39423308 -0.22089323 -0.05675729
 -0.00613592  0.51075774]",616,182,3.64,False,384432,11,
"[ 0.0966408  -0.12425245  1.1550876  -0.02914564 -0.7317089  -0.04141748
 -0.11510654 -0.07669904  0.1518641   0.3850292  -0.03681554  0.14572819
 -0.01227185  0.00217462]","[ 0.09510681 -0.13192235  1.1504856  -0.03834952 -0.7332428  -0.04295146
 -0.17968346 -0.07516506  0.09357283  0.34207773 -0.05368933  0.22702916
 -0.01227185 -0.08164044]",631,181,3.62,False,388931,11,
"[ 0.13038836 -0.18867964  1.1612235  -0.05215535 -0.65040785 -0.02147573
 -0.12758265 -0.10124274  0.18714567  0.39423308 -0.079767   -0.00153398
 -0.01073787  0.37950227]","[ 0.13192235 -0.19788353  1.1489516  -0.05062137 -0.6550098  -0.01994175
 -0.20368339 -0.09817477  0.17027187  0.3604855  -0.079767    0.00920388
 -0.00920388  0.30722573]",600,140,2.8,False,379590,11,
"[ 0.11351458 -0.20555343  1.1719613  -0.10277671 -0.62279624  0.01994175
 -0.12380327 -0.09510681  0.05368933  0.36201948 -0.18867964  0.638136
 -0.08897088 -0.06398763]","[ 0.11504856 -0.20401946  1.1627575  -0.10124274 -0.6289321   0.02147573
 -0.2012764  -0.09970875 -0.01073787  0.38656318 -0.18867964  0.6657477
 -0.08897088 -0.15946518]",603,184,3.68,False,380534,11,
"[ 0.0966408  -0.159534    1.1673595  -0.10124274 -0.66267973 -0.00613592
 -0.08999979 -0.08743691  0.0076699   0.42031074 -0.10277671  0.59825253
 -0.1764078  -0.01666357]","[ 0.09970875 -0.16873789  1.1612235  -0.10277671 -0.6672817  -0.00460194
 -0.14195131 -0.09510681 -0.06902914  0.44485444 -0.10277671  0.5997865
 -0.17180586 -0.10363108]",590,229,4.58,False,376679,11,
"[ 9.5368887e-04  1.0465782e+00  5.2319372e-01  5.3311205e-01
 -3.6240178e-03 -2.0981156e-03 -1.7546117e-06  1.7643245e-01
  2.2455559e+00  1.5611887e+00 -6.9600213e-01  2.4795909e-03
  9.8401618e-01  1.7458860e-02 -1.2914643e-03 -2.1476726e-04
 -4.8682783e-03  0.0000000e+00 -0.0000000e+00]","[ 9.53688868e-04  1.04619670e+00  5.24338126e-01  5.37689805e-01
 -3.24254204e-03  5.72213321e-04 -6.92866743e-05  1.77958339e-01
  2.24403000e+00  1.54440379e+00 -6.77691281e-01  2.00274661e-02
  9.77531075e-01 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]",690,240,4.8,,407545,12,
"[ 1.9073777e-04  1.0477226e+00  5.2357519e-01  5.7545584e-01
 -2.8610667e-03 -2.4795909e-03  1.5832484e-06 -3.9272907e-01
  2.6140611e+00  1.6798276e+00 -3.8967729e-01  1.1043717e-01
  8.1502253e-01  3.9328851e-02  2.8129364e-04 -2.1341511e-04
 -1.8862227e-03 -1.3383194e-03 -6.8631768e-03]","[ 5.7221332e-04  1.0477226e+00  5.2433813e-01  5.7812619e-01
 -3.2425420e-03  5.7221332e-04 -6.5948814e-05 -3.9082170e-01
  2.6136796e+00  1.6805905e+00 -3.8242924e-01  1.1234455e-01
  8.3829254e-01  3.9355643e-02 -1.3383194e-03 -6.8631768e-03]",666,153,3.06,,399820,12,
"[ 1.3351644e-03  1.0477226e+00  5.2243078e-01  5.1174945e-01
 -2.4795909e-03 -2.0981156e-03  1.5832484e-06  2.4986649e-02
  1.8385214e+00  1.0309377e+00 -1.6269933e-01  5.8937971e-02
  1.7948425e-01  1.7672485e-02  1.1416785e-05 -2.0124315e-04
  5.1483730e-05 -1.3383194e-03  2.2877257e-03]","[ 9.5368887e-04  1.0481040e+00  5.2395666e-01  5.1251239e-01
 -2.8610667e-03  5.7221332e-04 -6.5948814e-05  5.3597316e-02
  1.8396658e+00  1.0221637e+00 -1.6117342e-01  4.5204852e-02
  1.7414358e-01 -1.5855022e-04 -1.3383194e-03  2.2877257e-03]",647,234,4.68,,393876,12,
"[ 1.9073777e-04  1.0461967e+00  5.2357519e-01  5.1174945e-01
 -5.9128711e-03 -2.0981156e-03  1.5832484e-06  2.9945830e-02
  2.4980927e+00  2.3355839e+00 -1.2937744e+00  8.5641257e-02
  9.8058289e-01  1.7548982e-02  7.2727562e-05 -2.1991074e-04
 -6.9088704e-04  0.0000000e+00 -0.0000000e+00]","[-1.9073777e-04  1.0461967e+00  5.2433813e-01  5.1480126e-01
 -5.9128711e-03  5.7221332e-04 -6.5948814e-05  4.7112230e-02
  2.4942780e+00  2.3313878e+00 -1.3086519e+00  9.1744870e-02
  9.7562373e-01 -3.8385391e-05  0.0000000e+00 -0.0000000e+00]",669,275,5.5,,400896,12,
"[ 1.9073777e-04  1.0477226e+00  5.2357519e-01  5.8499277e-01
 -2.8610667e-03 -2.4795909e-03  1.5832484e-06 -4.7970551e-01
  2.3153658e+00  9.3862057e-01 -2.0542458e-01  8.0682077e-02
  8.1921875e-01  1.7605728e-02  2.3679013e-05 -2.0428977e-04
 -1.8484722e-03  0.0000000e+00 -0.0000000e+00]","[ 9.5368887e-04  1.0481040e+00  5.2433813e-01  5.8995193e-01
 -3.2425420e-03  5.7221332e-04 -6.9286674e-05 -4.7856107e-01
  2.3172731e+00  9.3862057e-01 -2.0542458e-01  8.3352409e-02
  8.3066303e-01  4.1890703e-04  0.0000000e+00 -0.0000000e+00]",655,223,4.46,,396406,12,
